Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path,language,avg_logprob,error
5,3169.448,3188.608,19.16,527,panako/movie/clips/20241125/clip_000981_2943000.mp3,ko,-0.0718,
5,3178.912,3197.84,18.93,544,panako/movie/clips/20241125/clip_000984_2952000.mp3,ko,-0.0701,
5,3184.344,3203.808,19.46,561,panako/movie/clips/20241125/clip_000986_2958000.mp3,ko,-0.1166,
5,3208.648,3227.688,19.04,621,panako/movie/clips/20241125/clip_000994_2982000.mp3,ko,-0.0843,
5,3217.312,3236.616,19.3,579,panako/movie/clips/20241125/clip_000997_2991000.mp3,ko,-0.0571,
5,3226.344,3240.096,13.75,305,panako/movie/clips/20241125/clip_001000_3000000.mp3,ko,-0.0863,
6,3444.768,3460.952,16.18,664,panako/movie/clips/20241125/clip_001147_3441000.mp3,ko,-0.1708,
6,3447.336,3466.416,19.08,1096,panako/movie/clips/20241125/clip_001149_3447000.mp3,ko,-0.0633,
6,3456.408,3475.752,19.34,990,panako/movie/clips/20241125/clip_001152_3456000.mp3,ko,-0.1406,
6,3468.4,3487.976,19.58,376,panako/movie/clips/20241125/clip_001156_3468000.mp3,ko,-0.1188,
6,3471.512,3490.736,19.22,318,panako/movie/clips/20241125/clip_001157_3471000.mp3,ko,-0.1441,
6,3474.56,3493.944,19.38,392,panako/movie/clips/20241125/clip_001158_3474000.mp3,ko,-0.0707,
6,3483.336,3502.96,19.62,631,panako/movie/clips/20241125/clip_001161_3483000.mp3,ko,-0.0735,
6,3486.672,3505.568,18.9,720,panako/movie/clips/20241125/clip_001162_3486000.mp3,ko,-0.0673,
6,3489.8,3508.768,18.97,787,panako/movie/clips/20241125/clip_001163_3489000.mp3,ko,-0.0841,
6,3507.464,3526.784,19.32,270,panako/movie/clips/20241125/clip_001169_3507000.mp3,ko,-0.2013,
6,3513.488,3528.352,14.86,335,panako/movie/clips/20241125/clip_001171_3513000.mp3,ko,-0.0899,
6,3527.176,3544.824,17.65,392,panako/movie/clips/20241125/clip_001175_3525000.mp3,ko,-0.1646,
6,3540.472,3559.776,19.3,750,panako/movie/clips/20241125/clip_001180_3540000.mp3,ko,-0.2338,
6,3543.856,3562.776,18.92,772,panako/movie/clips/20241125/clip_001181_3543000.mp3,ko,-0.282,
6,3546.328,3565.952,19.62,804,panako/movie/clips/20241125/clip_001182_3546000.mp3,ko,-0.2283,
6,3564.336,3583.8,19.46,1003,panako/movie/clips/20241125/clip_001188_3564000.mp3,ko,-0.1664,
6,3567.656,3586.96,19.3,915,panako/movie/clips/20241125/clip_001189_3567000.mp3,ko,-0.1213,
6,3576.36,3595.888,19.53,631,panako/movie/clips/20241125/clip_001192_3576000.mp3,ko,-0.1479,
6,3585.4,3604.784,19.38,821,panako/movie/clips/20241125/clip_001195_3585000.mp3,ko,-0.186,
6,3591.336,3610.808,19.47,891,panako/movie/clips/20241125/clip_001197_3591000.mp3,ko,-0.188,
6,3600.496,3619.112,18.62,543,panako/movie/clips/20241125/clip_001200_3600000.mp3,ko,-0.1872,
