Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,6.0,29.0,2,23.0
2,465.0,713.0,21,248.0
3,1662.0,1682.0,1,20.0
4,1722.0,1832.0,12,110.0
5,1887.0,1922.0,3,35.0
6,3084.0,3233.0,12,149.0
7,3273.0,3389.0,10,116.0
8,3432.0,3620.0,22,188.0
