Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,6.0,71.0,3,65.0
2,504.0,701.0,19,197.0
3,1662.0,1844.0,17,182.0
4,1887.0,1922.0,3,35.0
5,2766.0,3020.0,23,254.0
6,3438.0,3620.0,22,182.0
