Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
1,6.264,25.632,19.37,577,panako/movie/clips/20241129/clip_000002_006000.mp3
1,9.272,28.736,19.46,781,panako/movie/clips/20241129/clip_000003_009000.mp3
2,464.784,479.504,14.72,454,panako/movie/clips/20241129/clip_000155_465000.mp3
2,469.112,488.376,19.26,650,panako/movie/clips/20241129/clip_000158_474000.mp3
2,471.88,491.192,19.31,705,panako/movie/clips/20241129/clip_000159_477000.mp3
2,481.0,499.984,18.98,552,panako/movie/clips/20241129/clip_000162_486000.mp3
2,483.856,503.368,19.51,634,panako/movie/clips/20241129/clip_000163_489000.mp3
2,495.888,515.344,19.46,727,panako/movie/clips/20241129/clip_000167_501000.mp3
2,507.904,527.216,19.31,662,panako/movie/clips/20241129/clip_000171_513000.mp3
2,517.28,536.448,19.17,893,panako/movie/clips/20241129/clip_000174_522000.mp3
2,626.992,642.904,15.91,580,panako/movie/clips/20241129/clip_000184_552000.mp3
2,547.888,567.336,19.45,502,panako/movie/clips/20241129/clip_000191_573000.mp3
2,554.024,573.48,19.46,594,panako/movie/clips/20241129/clip_000193_579000.mp3
2,559.864,579.104,19.24,800,panako/movie/clips/20241129/clip_000195_585000.mp3
2,563.0,582.144,19.14,935,panako/movie/clips/20241129/clip_000196_588000.mp3
2,571.896,591.376,19.48,930,panako/movie/clips/20241129/clip_000199_597000.mp3
2,583.872,603.344,19.47,730,panako/movie/clips/20241129/clip_000203_609000.mp3
2,592.88,612.264,19.38,628,panako/movie/clips/20241129/clip_000206_618000.mp3
2,660.896,680.28,19.38,830,panako/movie/clips/20241129/clip_000222_666000.mp3
2,667.0,686.344,19.34,807,panako/movie/clips/20241129/clip_000224_672000.mp3
2,669.888,689.432,19.54,700,panako/movie/clips/20241129/clip_000225_675000.mp3
2,681.856,700.912,19.06,420,panako/movie/clips/20241129/clip_000229_687000.mp3
2,687.888,707.184,19.3,331,panako/movie/clips/20241129/clip_000231_693000.mp3
3,1625.568,1633.672,8.1,153,panako/movie/clips/20241129/clip_000554_1662000.mp3
4,1682.224,1701.952,19.73,592,panako/movie/clips/20241129/clip_000574_1722000.mp3
4,1688.448,1707.824,19.38,726,panako/movie/clips/20241129/clip_000576_1728000.mp3
4,1697.312,1716.128,18.82,712,panako/movie/clips/20241129/clip_000579_1737000.mp3
4,1715.728,1734.68,18.95,400,panako/movie/clips/20241129/clip_000585_1755000.mp3
4,1727.512,1745.72,18.21,526,panako/movie/clips/20241129/clip_000589_1767000.mp3
4,1730.856,1748.952,18.1,462,panako/movie/clips/20241129/clip_000590_1770000.mp3
4,1739.352,1758.52,19.17,606,panako/movie/clips/20241129/clip_000593_1779000.mp3
4,1751.312,1769.944,18.63,492,panako/movie/clips/20241129/clip_000597_1791000.mp3
4,1757.48,1776.712,19.23,333,panako/movie/clips/20241129/clip_000599_1797000.mp3
4,1763.248,1782.488,19.24,345,panako/movie/clips/20241129/clip_000601_1803000.mp3
4,1769.384,1788.6,19.22,471,panako/movie/clips/20241129/clip_000603_1809000.mp3
4,1772.6,1791.608,19.01,514,panako/movie/clips/20241129/clip_000604_1812000.mp3
5,1847.92,1866.568,18.65,212,panako/movie/clips/20241129/clip_000629_1887000.mp3
5,1850.184,1869.664,19.48,259,panako/movie/clips/20241129/clip_000630_1890000.mp3
5,1862.416,1881.736,19.32,259,panako/movie/clips/20241129/clip_000634_1902000.mp3
6,2924.16,2941.528,17.37,504,panako/movie/clips/20241129/clip_001030_3090000.mp3
6,2934.584,2953.736,19.15,716,panako/movie/clips/20241129/clip_001034_3102000.mp3
6,2952.488,2971.968,19.48,757,panako/movie/clips/20241129/clip_001040_3120000.mp3
6,2955.408,2974.976,19.57,667,panako/movie/clips/20241129/clip_001041_3123000.mp3
