Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,36.0,56.0,1,20.0
2,447.0,653.0,9,206.0
3,1665.0,1838.0,14,173.0
4,1893.0,1928.0,4,35.0
5,2973.0,3233.0,25,260.0
6,3450.0,3620.0,19,170.0
