Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
6,3223.2,3242.352,19.15,511,panako/movie/clips/20241128/clip_001065_3195000.mp3
6,3225.992,3245.248,19.26,469,panako/movie/clips/20241128/clip_001066_3198000.mp3
6,3231.952,3251.28,19.33,499,panako/movie/clips/20241128/clip_001068_3204000.mp3
6,3244.472,3259.624,15.15,299,panako/movie/clips/20241128/clip_001072_3216000.mp3
7,3448.272,3467.8,19.53,930,panako/movie/clips/20241128/clip_001136_3408000.mp3
7,3452.536,3470.872,18.34,1010,panako/movie/clips/20241128/clip_001137_3411000.mp3
7,3466.248,3485.768,19.52,276,panako/movie/clips/20241128/clip_001142_3426000.mp3
7,3470.12,3488.52,18.4,244,panako/movie/clips/20241128/clip_001143_3429000.mp3
7,3472.2,3491.168,18.97,407,panako/movie/clips/20241128/clip_001144_3432000.mp3
7,3475.336,3494.792,19.46,424,panako/movie/clips/20241128/clip_001145_3435000.mp3
7,3481.272,3500.576,19.3,544,panako/movie/clips/20241128/clip_001147_3441000.mp3
7,3496.36,3515.744,19.38,795,panako/movie/clips/20241128/clip_001152_3456000.mp3
7,3499.224,3518.704,19.48,753,panako/movie/clips/20241128/clip_001153_3459000.mp3
7,3508.456,3527.592,19.14,564,panako/movie/clips/20241128/clip_001156_3468000.mp3
7,3520.296,3539.784,19.49,336,panako/movie/clips/20241128/clip_001160_3480000.mp3
7,3526.224,3545.656,19.43,466,panako/movie/clips/20241128/clip_001162_3486000.mp3
7,3538.28,3557.544,19.26,758,panako/movie/clips/20241128/clip_001166_3498000.mp3
7,3544.24,3563.544,19.3,856,panako/movie/clips/20241128/clip_001168_3504000.mp3
7,3562.2,3581.776,19.58,1046,panako/movie/clips/20241128/clip_001174_3522000.mp3
7,3568.376,3587.912,19.54,889,panako/movie/clips/20241128/clip_001176_3528000.mp3
7,3571.304,3590.32,19.02,879,panako/movie/clips/20241128/clip_001177_3531000.mp3
7,3574.232,3590.32,16.09,689,panako/movie/clips/20241128/clip_001178_3534000.mp3
7,3591.208,3608.896,17.69,832,panako/movie/clips/20241128/clip_001183_3549000.mp3
7,3592.304,3610.28,17.98,914,panako/movie/clips/20241128/clip_001184_3552000.mp3
7,3595.272,3610.28,15.01,828,panako/movie/clips/20241128/clip_001185_3555000.mp3
7,3601.352,3619.496,18.14,394,panako/movie/clips/20241128/clip_001187_3561000.mp3
7,3604.328,3619.496,15.17,283,panako/movie/clips/20241128/clip_001188_3564000.mp3
