Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,15.0,47.0,3,32.0
2,99.0,119.0,1,20.0
3,510.0,608.0,10,98.0
4,1719.0,1814.0,9,95.0
5,2913.0,3134.0,14,221.0
6,3408.0,3614.0,18,206.0
7,3891.0,3944.0,5,53.0
8,5319.0,5405.0,8,86.0
9,6534.0,6698.0,15,164.0
10,7029.0,7202.0,14,173.0
