Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,15.0,35.0,1,20.0
2,597.0,809.0,22,212.0
3,1713.0,1751.0,3,38.0
4,1788.0,1811.0,2,23.0
5,2844.0,3020.0,20,176.0
6,3405.0,3617.0,14,212.0
7,3870.0,3944.0,6,74.0
8,5322.0,5387.0,4,65.0
9,6642.0,6692.0,5,50.0
10,6996.0,7187.0,17,191.0
