Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,9.0,29.0,1,20.0
2,93.0,116.0,2,23.0
3,471.0,563.0,11,92.0
4,1728.0,1811.0,10,83.0
5,2877.0,3092.0,16,215.0
6,3402.0,3620.0,20,218.0
7,3996.0,4040.0,5,44.0
8,5331.0,5402.0,6,71.0
9,6534.0,6707.0,17,173.0
10,7005.0,7196.0,17,191.0
