Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,3.0,23.0,1,20.0
2,102.0,125.0,2,23.0
3,387.0,527.0,13,140.0
4,564.0,620.0,7,56.0
5,1713.0,1742.0,4,29.0
6,1878.0,1901.0,2,23.0
7,2922.0,3098.0,18,176.0
8,3417.0,3617.0,14,200.0
9,3885.0,3938.0,7,53.0
10,5319.0,5399.0,5,80.0
11,6696.0,6755.0,5,59.0
12,7023.0,7202.0,14,179.0
