Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,108.0,128.0,1,20.0
2,537.0,764.0,21,227.0
3,1713.0,1814.0,8,101.0
4,3114.0,3287.0,20,173.0
5,3429.0,3617.0,12,188.0
6,3960.0,4043.0,7,83.0
7,5325.0,5417.0,4,92.0
8,6597.0,6641.0,3,44.0
9,7032.0,7205.0,16,173.0
