date,tp,fp,fn,precision,recall,f1,ad_total,ad_tp,ad_fn,ad_fp_blocks,ad_precision,ad_recall,ad_f1
20241125,1076,42,172,0.9624,0.8622,0.9096,61,54,7,1,0.9818,0.8852,0.931
20241126,1088,60,163,0.9477,0.8697,0.907,61,55,6,1,0.9821,0.9016,0.9402
20260102,1070,123,255,0.8969,0.8075,0.8499,63,54,9,4,0.931,0.8571,0.8926
20260103,1037,55,210,0.9496,0.8316,0.8867,62,54,8,1,0.9818,0.871,0.9231
20260104,974,57,240,0.9447,0.8023,0.8677,61,50,11,1,0.9804,0.8197,0.8929
20260105,1010,39,206,0.9628,0.8306,0.8918,61,52,9,0,1.0,0.8525,0.9204
20260106,940,86,261,0.9162,0.7827,0.8442,61,52,9,2,0.963,0.8525,0.9043
20260107,933,81,268,0.9201,0.7769,0.8424,61,47,14,2,0.9592,0.7705,0.8545
