date,ad_idx,company,ad_start,ad_end,duration,clip_path,tags,bpm,rms_energy,spectral_centroid,zero_crossing_rate,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,voice_ratio,cluster,ad_type
20260102,2,이은지의가요광장,20.01,39.02,19.01,ad_clips/20260102_ad2_이은지의가요광장.mp3,"upbeat,moderate,music_heavy",122.28260869565216,0.0769595503807067,3073.086847225421,0.0653258969258272,-211.74319458007807,134.44520568847656,-37.06367492675781,33.89813995361328,-9.292378425598145,11.825308799743652,-9.529024124145508,6.021999359130859,-10.457789421081545,4.483198165893555,-7.483636856079102,-2.117708206176758,-2.8342244625091557,0.0147290899526565,2,BGM_Narration
20260102,3,경기주택도시공사,614.01,632.83,18.82000000000005,ad_clips/20260102_ad3_경기주택도시공사.mp3,"medium,moderate,voice_heavy",95.33898305084746,0.1268454641103744,2574.7663676261363,0.0517863070998583,-228.31982421875,137.5611114501953,-11.38282585144043,43.3550033569336,2.778923988342285,31.42093276977539,-12.266762733459473,6.027556419372559,1.4804856777191162,-3.62894606590271,-3.5998685359954834,-4.677043437957764,-1.8541486263275144,1.0,0,Narration
20260102,4,리퍼브,632.83,653.45,20.620000000000005,ad_clips/20260102_ad4_리퍼브.mp3,"upbeat,energetic,voice_heavy",156.25,0.1539093405008316,3595.748988513647,0.0676527052902016,-178.1199951171875,115.93575286865234,-20.696165084838867,54.66423797607422,-19.529386520385746,34.87980651855469,-12.052993774414062,20.714365005493164,1.9223735332489011,5.676638603210449,-0.0608659349381923,4.534121036529541,1.153506636619568,0.9330746847720716,1,CM_Song
20260102,5,이은지의가요광장,653.45,671.1,17.649999999999977,ad_clips/20260102_ad5_이은지의가요광장.mp3,"upbeat,moderate,voice_heavy",125.0,0.1272338181734085,3906.319746851362,0.0826428554569486,-150.3665008544922,126.96253967285156,-43.89735794067383,67.48442077636719,-30.354713439941406,39.02210235595703,-16.708620071411133,21.78420066833496,-0.4678866863250732,5.933436870574951,7.630296230316162,-1.4158108234405518,11.531672477722168,0.7042492917847071,1,CM_Song
20260102,7,노원아트뮤지엄,1740.0,1758.75,18.75,ad_clips/20260102_ad7_노원아트뮤지엄.mp3,"upbeat,moderate,voice_heavy",140.625,0.0722724199295044,2453.768374137822,0.0558340443686006,-243.2203826904297,160.35780334472656,-24.19756507873535,34.704986572265625,2.7702672481536865,22.71453285217285,-15.287888526916504,6.338021755218506,1.3422828912734983,2.499353647232056,-3.963836669921875,-1.4875482320785522,5.288593292236328,1.0,0,Narration
20260102,8,오마이걸효정의볼륨을높여요,1758.75,1798.55,39.79999999999996,ad_clips/20260102_ad8_오마이걸효정의볼륨을높여요.mp3,"medium,quiet,music_heavy",96.98275862068964,0.0460522323846817,1923.690388669422,0.0386748319014603,-367.5620422363281,143.82412719726562,0.9193202257156372,12.044861793518066,-5.616613864898682,3.078375577926636,-3.543787717819214,-0.1264739036560058,-1.9352869987487795,-3.050786018371582,-4.848799228668213,-3.8861608505249023,-4.780316352844238,0.4557788944723591,0,Narration
20260102,9,기프트인포,1798.55,1819.24,20.69000000000005,ad_clips/20260102_ad9_기프트인포.mp3,"upbeat,moderate,voice_heavy",137.1951219512195,0.0969589725136756,3552.8466483722764,0.0813071339400773,-193.2416229248047,125.27620697021484,-43.123416900634766,48.301368713378906,-27.53637313842773,18.38198471069336,-18.87200736999512,10.969600677490234,-7.028340816497803,-5.424322605133057,6.96776819229126,-4.127925872802734,-1.291137456893921,0.676655389076858,2,BGM_Narration
20260102,10,이은지의가요광장,1819.24,1841.47,22.230000000000015,ad_clips/20260102_ad10_이은지의가요광장.mp3,"upbeat,moderate,music_heavy",122.28260869565216,0.1221924722194671,3608.791907992348,0.0716677439298561,-194.33627319335935,114.69479370117188,-51.2394905090332,51.339752197265625,-24.61606216430664,38.63508224487305,-10.622328758239746,19.141475677490234,2.0273244380950928,1.283113956451416,10.08324146270752,5.61392879486084,6.413148403167725,0.1237067026540709,1,CM_Song
20260102,11,미래에셋증권,3096.35,3115.59,19.24000000000024,ad_clips/20260102_ad11_미래에셋증권.mp3,"upbeat,moderate,voice_heavy",140.625,0.1080812364816665,4247.760270095531,0.0933827063989745,-190.9932403564453,110.56698608398438,-25.406253814697266,59.91497039794922,-26.182456970214844,37.94631576538086,-23.85548591613769,11.640950202941896,-7.450250625610352,1.031469702720642,-3.4328012466430664,-6.122395515441895,-0.0577350631356239,0.968814968814974,2,BGM_Narration
20260102,12,고려기프트,3115.59,3135.77,20.17999999999984,ad_clips/20260102_ad12_고려기프트.mp3,"upbeat,moderate,voice_heavy",130.8139534883721,0.1321740746498108,4129.288958301736,0.0832775027252906,-147.01808166503906,114.18360137939452,-39.58877944946289,59.1942138671875,-32.202857971191406,33.16566848754883,-13.645537376403809,21.600475311279297,-2.9293789863586426,11.01405143737793,-1.1803444623947144,3.171396017074585,7.845731735229492,0.8325074331021421,1,CM_Song
