Query Path,Query Start,Query Stop,Match Path,Match ID,Match Start,Match Stop,Match Score,Time Factor (%),Frequency Factor (%),Seconds with Match (%)
panako/noon/clips/20260109/clip_000007_021000.mp3,0.968,18.248,noon/20260108/mp3/20260108.mp3,20260108,20.784,38.064,179,1.0,1.0,0.89
panako/noon/clips/20260109/clip_000006_018000.mp3,1.672,18.104,noon/20260108/mp3/20260108.mp3,20260108,18.488,34.92,208,1.0,1.0,0.94
panako/noon/clips/20260109/clip_000140_420000.mp3,6.16,19.568,noon/20260108/mp3/20260108.mp3,20260108,774.84,788.264,444,1.0,1.0,1.0
panako/noon/clips/20260109/clip_000147_441000.mp3,0.144,19.464,noon/20260108/mp3/20260108.mp3,20260108,789.84,809.16,798,1.0,1.0,1.0
panako/noon/clips/20260109/clip_000150_450000.mp3,0.104,19.488,noon/20260108/mp3/20260108.mp3,20260108,798.8,818.024,125,1.008,1.0,0.3
panako/noon/clips/20260109/clip_000151_453000.mp3,0.464,19.64,noon/20260108/mp3/20260108.mp3,20260108,802.16,821.168,346,1.008,1.0,0.3
panako/noon/clips/20260109/clip_000565_1695000.mp3,6.904,19.504,noon/20260108/mp3/20260108.mp3,20260108,7017.561,7030.16,449,1.0,1.0,1.0
panako/noon/clips/20260109/clip_000577_1731000.mp3,0.128,19.504,noon/20260108/mp3/20260108.mp3,20260108,5330.304,5349.68,1070,1.0,1.0,1.0
panako/noon/clips/20260109/clip_000585_1755000.mp3,0.136,18.488,noon/20260108/mp3/20260108.mp3,20260108,1754.272,1772.624,498,1.0,1.0,0.95
panako/noon/clips/20260109/clip_000589_1767000.mp3,0.776,19.512,noon/20260108/mp3/20260108.mp3,20260108,1766.904,1785.648,185,1.0,1.0,0.89
panako/noon/clips/20260109/clip_000594_1782000.mp3,0.112,19.672,noon/20260108/mp3/20260108.mp3,20260108,1781.248,1800.8,483,1.0,1.0,0.95
panako/noon/clips/20260109/clip_000605_1815000.mp3,2.136,19.512,noon/20260108/mp3/20260108.mp3,20260108,1815.952,1833.328,1113,1.0,1.0,1.0
panako/noon/clips/20260109/clip_000601_1803000.mp3,0.328,19.656,noon/20260108/mp3/20260108.mp3,20260108,1802.48,1821.472,142,1.017,1.0,0.11
panako/noon/clips/20260109/clip_000604_1812000.mp3,0.096,19.688,noon/20260108/mp3/20260108.mp3,20260108,1811.232,1830.496,118,1.016,1.0,0.2
panako/noon/clips/20260109/clip_000606_1818000.mp3,0.264,19.424,noon/20260108/mp3/20260108.mp3,20260108,1817.072,1836.232,1059,1.0,1.0,0.95
panako/noon/clips/20260109/clip_000609_1827000.mp3,0.112,11.736,noon/20260108/mp3/20260108.mp3,20260108,1825.928,1837.552,519,1.0,1.0,0.92
panako/noon/clips/20260109/clip_001023_3069000.mp3,7.384,19.568,noon/20260108/mp3/20260108.mp3,20260108,3060.168,3072.336,455,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001025_3075000.mp3,1.384,19.424,noon/20260108/mp3/20260108.mp3,20260108,3060.168,3078.208,714,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001031_3093000.mp3,0.128,19.568,noon/20260108/mp3/20260108.mp3,20260108,3076.912,3096.352,975,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001030_3090000.mp3,0.144,19.64,noon/20260108/mp3/20260108.mp3,20260108,3073.912,3093.424,929,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001034_3102000.mp3,0.168,19.352,noon/20260108/mp3/20260108.mp3,20260108,3085.952,3105.136,793,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001038_3114000.mp3,0.168,19.352,noon/20260108/mp3/20260108.mp3,20260108,3097.952,3117.136,664,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001039_3117000.mp3,0.096,19.824,noon/20260108/mp3/20260108.mp3,20260108,3100.88,3120.608,734,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001047_3141000.mp3,0.696,19.696,noon/20260108/mp3/20260108.mp3,20260108,3125.48,3144.48,745,1.0,1.0,1.05
panako/noon/clips/20260109/clip_001041_3123000.mp3,0.2,19.64,noon/20260108/mp3/20260108.mp3,20260108,3106.984,3126.424,756,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001051_3153000.mp3,0.152,19.568,noon/20260108/mp3/20260108.mp3,20260108,3136.936,3156.352,881,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001056_3168000.mp3,0.472,19.256,noon/20260108/mp3/20260108.mp3,20260108,3152.256,3171.04,645,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001055_3165000.mp3,0.912,19.152,noon/20260108/mp3/20260108.mp3,20260108,3149.696,3167.936,478,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001061_3183000.mp3,0.288,19.728,noon/20260108/mp3/20260108.mp3,20260108,3167.072,3185.92,43,1.03,1.0,0.11
panako/noon/clips/20260109/clip_001060_3180000.mp3,0.144,15.032,noon/20260108/mp3/20260108.mp3,20260108,3163.928,3178.816,615,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001062_3186000.mp3,0.536,19.656,noon/20260108/mp3/20260108.mp3,20260108,3170.32,3188.848,94,1.031,1.0,0.11
panako/noon/clips/20260109/clip_001063_3189000.mp3,0.128,19.688,noon/20260108/mp3/20260108.mp3,20260108,3172.912,3191.888,41,1.03,1.0,0.11
panako/noon/clips/20260109/clip_001068_3204000.mp3,0.224,19.656,noon/20260108/mp3/20260108.mp3,20260108,3187.416,3206.632,183,1.012,1.0,0.4
panako/noon/clips/20260109/clip_001070_3210000.mp3,0.096,18.0,noon/20260108/mp3/20260108.mp3,20260108,3193.296,3210.984,87,1.012,1.0,0.17
panako/noon/clips/20260109/clip_001163_3489000.mp3,7.48,19.648,noon/20260108/mp3/20260108.mp3,20260108,7095.625,7107.824,230,0.997,1.0,0.62
panako/noon/clips/20260109/clip_001176_3528000.mp3,0.272,19.008,noon/20260108/mp3/20260108.mp3,20260108,3527.44,3546.176,1005,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001172_3516000.mp3,0.144,19.704,noon/20260108/mp3/20260108.mp3,20260108,3515.32,3534.88,1503,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001167_3501000.mp3,0.152,19.56,noon/20260108/mp3/20260108.mp3,20260108,3500.32,3519.728,472,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001173_3519000.mp3,0.152,19.504,noon/20260108/mp3/20260108.mp3,20260108,3518.328,3537.68,1650,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001170_3510000.mp3,0.528,19.688,noon/20260108/mp3/20260108.mp3,20260108,3509.704,3528.864,1325,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001186_3558000.mp3,0.176,19.576,noon/20260108/mp3/20260108.mp3,20260108,3557.352,3576.752,601,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001187_3561000.mp3,0.12,19.632,noon/20260108/mp3/20260108.mp3,20260108,3560.296,3579.808,667,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001185_3555000.mp3,0.168,19.424,noon/20260108/mp3/20260108.mp3,20260108,5359.304,5378.56,556,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001197_3591000.mp3,1.152,19.8,noon/20260108/mp3/20260108.mp3,20260108,7190.488,7209.136,706,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001194_3582000.mp3,0.168,19.672,noon/20260108/mp3/20260108.mp3,20260108,3581.344,3600.848,471,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001210_3630000.mp3,0.168,19.312,noon/20260108/mp3/20260108.mp3,20260108,3629.264,3648.408,711,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001208_3624000.mp3,0.176,19.744,noon/20260108/mp3/20260108.mp3,20260108,3623.264,3642.832,861,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001206_3618000.mp3,1.752,19.576,noon/20260108/mp3/20260108.mp3,20260108,3618.84,3636.672,670,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001275_3825000.mp3,0.112,19.616,noon/20260108/mp3/20260108.mp3,20260108,3802.176,3821.68,665,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001276_3828000.mp3,0.176,19.704,noon/20260108/mp3/20260108.mp3,20260108,3805.24,3824.768,500,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001272_3816000.mp3,6.608,19.672,noon/20260108/mp3/20260108.mp3,20260108,3799.68,3812.736,489,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001281_3843000.mp3,0.376,19.736,noon/20260108/mp3/20260108.mp3,20260108,3820.44,3839.8,744,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001280_3840000.mp3,0.144,19.712,noon/20260108/mp3/20260108.mp3,20260108,3817.208,3836.784,580,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001288_3864000.mp3,0.128,19.624,noon/20260108/mp3/20260108.mp3,20260108,3841.192,3860.688,452,1.0,1.0,0.9
panako/noon/clips/20260109/clip_001292_3876000.mp3,0.128,19.608,noon/20260108/mp3/20260108.mp3,20260108,3853.192,3872.672,443,1.0,1.0,0.9
panako/noon/clips/20260109/clip_001290_3870000.mp3,1.12,19.512,noon/20260108/mp3/20260108.mp3,20260108,3848.184,3866.576,470,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001294_3882000.mp3,0.656,19.6,noon/20260108/mp3/20260108.mp3,20260108,3859.72,3878.664,522,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001304_3912000.mp3,0.472,19.744,noon/20260108/mp3/20260108.mp3,20260108,3889.544,3908.808,544,1.0,1.0,0.9
panako/noon/clips/20260109/clip_001297_3891000.mp3,0.288,19.768,noon/20260108/mp3/20260108.mp3,20260108,3868.36,3887.832,627,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001307_3921000.mp3,0.104,19.456,noon/20260108/mp3/20260108.mp3,20260108,3898.168,3917.52,526,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001311_3933000.mp3,0.208,19.696,noon/20260108/mp3/20260108.mp3,20260108,3910.272,3929.76,588,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001306_3918000.mp3,0.392,19.536,noon/20260108/mp3/20260108.mp3,20260108,3895.456,3914.6,555,1.0,1.0,0.9
panako/noon/clips/20260109/clip_001310_3930000.mp3,0.112,19.56,noon/20260108/mp3/20260108.mp3,20260108,3907.176,3926.624,540,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001312_3936000.mp3,0.12,19.672,noon/20260108/mp3/20260108.mp3,20260108,3913.184,3932.736,893,1.0,1.0,0.95
panako/noon/clips/20260109/clip_001317_3951000.mp3,0.312,19.584,noon/20260108/mp3/20260108.mp3,20260108,3928.384,3947.648,1307,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001321_3963000.mp3,0.128,18.592,noon/20260108/mp3/20260108.mp3,20260108,3940.192,3958.648,1137,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001330_3990000.mp3,0.208,11.16,noon/20260108/mp3/20260108.mp3,20260108,4244.392,4255.344,607,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001328_3984000.mp3,0.168,17.16,noon/20260108/mp3/20260108.mp3,20260108,4238.344,4255.344,904,1.0,1.0,1.06
panako/noon/clips/20260109/clip_001448_4344000.mp3,10.064,19.392,noon/20260108/mp3/20260108.mp3,20260108,1104.816,1114.152,429,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001447_4341000.mp3,13.064,19.456,noon/20260108/mp3/20260108.mp3,20260108,1104.816,1111.216,365,0.999,1.0,1.0
panako/noon/clips/20260109/clip_001451_4353000.mp3,1.064,19.632,noon/20260108/mp3/20260108.mp3,20260108,1104.816,1123.4,578,1.0,1.0,0.74
panako/noon/clips/20260109/clip_001770_5310000.mp3,6.584,19.544,noon/20260108/mp3/20260108.mp3,20260108,5315.76,5328.72,571,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001777_5331000.mp3,0.128,19.504,noon/20260108/mp3/20260108.mp3,20260108,5330.304,5349.68,1070,1.0,1.0,1.0
panako/noon/clips/20260109/clip_001782_5346000.mp3,0.256,19.536,noon/20260108/mp3/20260108.mp3,20260108,5345.432,5364.712,506,1.0,1.0,1.0
