Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,33.0,53.0,1,20.0
2,765.0,836.0,8,71.0
3,1092.0,1133.0,3,41.0
4,1749.0,1784.0,3,35.0
5,1821.0,1865.0,3,44.0
6,3051.0,3200.0,17,149.0
7,3522.0,3659.0,13,137.0
8,3801.0,3887.0,11,86.0
9,3921.0,3977.0,6,56.0
10,5319.0,5447.0,11,128.0
11,6840.0,6938.0,11,98.0
12,7110.0,7205.0,10,95.0
