Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,42.0,62.0,1,20.0
2,564.0,638.0,9,74.0
3,918.0,953.0,4,35.0
4,1722.0,1868.0,10,146.0
5,3069.0,3215.0,16,146.0
6,3498.0,3653.0,11,155.0
7,3822.0,3995.0,16,173.0
8,5313.0,5450.0,7,137.0
9,6792.0,6911.0,14,119.0
10,7083.0,7205.0,13,122.0
