Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
1,36.776,55.856,19.08,156,panako/noon/clips/20260108/clip_000011_033000.mp3
2,613.96,632.728,18.77,618,panako/noon/clips/20260108/clip_000258_774000.mp3
2,622.248,641.6,19.35,709,panako/noon/clips/20260108/clip_000261_783000.mp3
2,625.312,644.504,19.19,852,panako/noon/clips/20260108/clip_000262_786000.mp3
2,637.576,656.816,19.24,172,panako/noon/clips/20260108/clip_000266_798000.mp3
2,654.616,670.552,15.94,799,panako/noon/clips/20260108/clip_000271_813000.mp3
2,655.384,670.552,15.17,753,panako/noon/clips/20260108/clip_000272_816000.mp3
3,1032.824,1039.472,6.65,325,panako/noon/clips/20260108/clip_000364_1092000.mp3
3,1035.216,1054.648,19.43,589,panako/noon/clips/20260108/clip_000369_1107000.mp3
3,1041.176,1057.952,16.78,438,panako/noon/clips/20260108/clip_000371_1113000.mp3
4,1752.768,1772.056,19.29,529,panako/noon/clips/20260108/clip_000583_1749000.mp3
4,1756.424,1774.688,18.26,527,panako/noon/clips/20260108/clip_000584_1752000.mp3
4,1768.408,1786.728,18.32,167,panako/noon/clips/20260108/clip_000588_1764000.mp3
5,1824.752,1841.432,16.68,712,panako/noon/clips/20260108/clip_000607_1821000.mp3
5,1845.752,1863.632,17.88,563,panako/noon/clips/20260108/clip_000614_1842000.mp3
5,1847.496,1864.48,16.98,534,panako/noon/clips/20260108/clip_000615_1845000.mp3
6,3096.696,3115.376,18.68,660,panako/noon/clips/20260108/clip_001020_3060000.mp3
6,3102.64,3122.0,19.36,660,panako/noon/clips/20260108/clip_001022_3066000.mp3
6,3111.848,3131.032,19.18,946,panako/noon/clips/20260108/clip_001025_3075000.mp3
6,3117.616,3137.176,19.56,849,panako/noon/clips/20260108/clip_001027_3081000.mp3
6,3136.12,3155.064,18.94,628,panako/noon/clips/20260108/clip_001033_3099000.mp3
6,3141.648,3161.08,19.43,773,panako/noon/clips/20260108/clip_001035_3105000.mp3
6,3150.624,3169.616,18.99,728,panako/noon/clips/20260108/clip_001038_3114000.mp3
6,3162.696,3182.144,19.45,849,panako/noon/clips/20260108/clip_001042_3126000.mp3
6,3174.816,3193.472,18.66,938,panako/noon/clips/20260108/clip_001046_3138000.mp3
6,3177.68,3197.048,19.37,885,panako/noon/clips/20260108/clip_001047_3141000.mp3
6,3186.76,3206.072,19.31,594,panako/noon/clips/20260108/clip_001050_3150000.mp3
6,3192.872,3212.072,19.2,674,panako/noon/clips/20260108/clip_001052_3156000.mp3
6,3201.696,3221.288,19.59,754,panako/noon/clips/20260108/clip_001055_3165000.mp3
6,3208.056,3226.968,18.91,701,panako/noon/clips/20260108/clip_001057_3171000.mp3
6,3216.992,3232.336,15.34,802,panako/noon/clips/20260108/clip_001060_3180000.mp3
7,3525.456,3544.896,19.44,1016,panako/noon/clips/20260108/clip_001174_3522000.mp3
7,3528.52,3548.04,19.52,906,panako/noon/clips/20260108/clip_001175_3525000.mp3
7,3534.464,3553.696,19.23,736,panako/noon/clips/20260108/clip_001177_3531000.mp3
7,3540.584,3558.88,18.3,533,panako/noon/clips/20260108/clip_001179_3537000.mp3
7,3558.584,3578.008,19.42,550,panako/noon/clips/20260108/clip_001185_3555000.mp3
7,3573.856,3592.904,19.05,546,panako/noon/clips/20260108/clip_001190_3570000.mp3
7,3609.568,3628.888,19.32,193,panako/noon/clips/20260108/clip_001202_3606000.mp3
7,3622.056,3640.848,18.79,683,panako/noon/clips/20260108/clip_001206_3618000.mp3
7,3627.296,3646.84,19.54,829,panako/noon/clips/20260108/clip_001208_3624000.mp3
7,3636.32,3651.616,15.3,662,panako/noon/clips/20260108/clip_001211_3633000.mp3
7,3639.328,3651.616,12.29,511,panako/noon/clips/20260108/clip_001212_3636000.mp3
7,3642.296,3651.616,9.32,299,panako/noon/clips/20260108/clip_001213_3639000.mp3
8,3804.6,3823.936,19.34,732,panako/noon/clips/20260108/clip_001267_3801000.mp3
8,3811.112,3829.944,18.83,605,panako/noon/clips/20260108/clip_001269_3807000.mp3
8,3816.584,3836.048,19.46,673,panako/noon/clips/20260108/clip_001271_3813000.mp3
8,3828.56,3848.272,19.71,769,panako/noon/clips/20260108/clip_001275_3825000.mp3
8,3831.944,3850.208,18.26,774,panako/noon/clips/20260108/clip_001276_3828000.mp3
8,3843.656,3861.12,17.46,510,panako/noon/clips/20260108/clip_001280_3840000.mp3
8,3847.216,3866.048,18.83,391,panako/noon/clips/20260108/clip_001281_3843000.mp3
8,3855.552,3875.0,19.45,458,panako/noon/clips/20260108/clip_001284_3852000.mp3
8,3863.168,3881.088,17.92,487,panako/noon/clips/20260108/clip_001286_3858000.mp3
8,3867.624,3882.224,14.6,422,panako/noon/clips/20260108/clip_001288_3864000.mp3
8,3871.2,3882.224,11.02,315,panako/noon/clips/20260108/clip_001289_3867000.mp3
9,3924.688,3943.872,19.18,1019,panako/noon/clips/20260108/clip_001307_3921000.mp3
9,3933.576,3953.136,19.56,1124,panako/noon/clips/20260108/clip_001310_3930000.mp3
9,3945.536,3961.912,16.38,1010,panako/noon/clips/20260108/clip_001314_3942000.mp3
9,3951.632,3970.752,19.12,180,panako/noon/clips/20260108/clip_001316_3948000.mp3
9,3957.56,3976.576,19.02,248,panako/noon/clips/20260108/clip_001318_3954000.mp3
9,3963.568,3979.512,15.94,427,panako/noon/clips/20260108/clip_001319_3957000.mp3
10,5322.504,5341.856,19.35,936,panako/noon/clips/20260108/clip_001773_5319000.mp3
10,5325.48,5344.976,19.5,903,panako/noon/clips/20260108/clip_001774_5322000.mp3
10,5346.488,5365.72,19.23,598,panako/noon/clips/20260108/clip_001781_5343000.mp3
10,5370.608,5389.816,19.21,601,panako/noon/clips/20260108/clip_001789_5367000.mp3
10,3568.528,3588.096,19.57,637,panako/noon/clips/20260108/clip_001790_5370000.mp3
10,5386.04,5404.992,18.95,624,panako/noon/clips/20260108/clip_001794_5382000.mp3
10,5394.52,5413.896,19.38,823,panako/noon/clips/20260108/clip_001797_5391000.mp3
10,5409.448,5428.824,19.38,391,panako/noon/clips/20260108/clip_001802_5406000.mp3
10,5415.504,5435.008,19.5,261,panako/noon/clips/20260108/clip_001804_5412000.mp3
10,5421.552,5441.144,19.59,575,panako/noon/clips/20260108/clip_001806_5418000.mp3
10,5430.52,5443.848,13.33,353,panako/noon/clips/20260108/clip_001809_5427000.mp3
11,6745.145,6764.264,19.12,349,panako/noon/clips/20260108/clip_002280_6840000.mp3
11,6757.016,6776.176,19.16,267,panako/noon/clips/20260108/clip_002284_6852000.mp3
11,6760.504,6779.472,18.97,288,panako/noon/clips/20260108/clip_002285_6855000.mp3
11,6769.041,6788.632,19.59,349,panako/noon/clips/20260108/clip_002288_6864000.mp3
11,6775.041,6793.704,18.66,414,panako/noon/clips/20260108/clip_002290_6870000.mp3
11,6778.136,6797.472,19.34,389,panako/noon/clips/20260108/clip_002291_6873000.mp3
11,6784.417,6803.112,18.69,306,panako/noon/clips/20260108/clip_002293_6879000.mp3
11,6793.048,6812.353,19.31,252,panako/noon/clips/20260108/clip_002296_6888000.mp3
11,6808.016,6827.44,19.42,237,panako/noon/clips/20260108/clip_002301_6903000.mp3
11,6817.024,6835.656,18.63,317,panako/noon/clips/20260108/clip_002304_6912000.mp3
11,6823.024,6842.224,19.2,321,panako/noon/clips/20260108/clip_002306_6918000.mp3
12,7115.152,7133.648,18.5,849,panako/noon/clips/20260108/clip_002370_7110000.mp3
12,7120.344,7139.792,19.45,743,panako/noon/clips/20260108/clip_002372_7116000.mp3
12,7129.2,7148.712,19.51,736,panako/noon/clips/20260108/clip_002375_7125000.mp3
12,7135.336,7152.864,17.53,864,panako/noon/clips/20260108/clip_002377_7131000.mp3
12,7144.192,7163.784,19.59,680,panako/noon/clips/20260108/clip_002380_7140000.mp3
12,7154.992,7172.625,17.63,316,panako/noon/clips/20260108/clip_002383_7149000.mp3
12,7165.216,7184.224,19.01,521,panako/noon/clips/20260108/clip_002387_7161000.mp3
12,7180.336,7199.488,19.15,561,panako/noon/clips/20260108/clip_002392_7176000.mp3
12,7186.417,7205.656,19.24,610,panako/noon/clips/20260108/clip_002394_7182000.mp3
12,7189.24,7208.72,19.48,635,panako/noon/clips/20260108/clip_002395_7185000.mp3
