Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,24.0,44.0,1,20.0
2,618.0,668.0,4,50.0
3,1020.0,1058.0,4,38.0
4,1734.0,1865.0,11,131.0
5,3096.0,3245.0,15,149.0
6,3516.0,3659.0,10,143.0
7,3795.0,3989.0,22,194.0
8,5361.0,5450.0,5,89.0
9,6753.0,6866.0,14,113.0
10,7095.0,7199.0,11,104.0
