Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,6.0,56.0,2,50.0
2,381.0,446.0,6,65.0
3,1728.0,1850.0,10,122.0
4,3210.0,3359.0,14,149.0
5,3498.0,3653.0,12,155.0
6,3807.0,3986.0,22,179.0
7,5313.0,5450.0,7,137.0
8,6678.0,6785.0,11,107.0
9,7107.0,7190.0,9,83.0
