Query Path,Query Start,Query Stop,Match Path,Match ID,Match Start,Match Stop,Match Score,Time Factor (%),Frequency Factor (%),Seconds with Match (%)
panako/noon/clips/20260114/clip_000014_042000.mp3,1.472,11.616,noon/20260113/mp3/20260113.mp3,20260113,44.312,54.456,161,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000005_015000.mp3,0.168,19.064,noon/20260113/mp3/20260113.mp3,20260113,15.72,34.896,51,0.985,1.0,0.2
panako/noon/clips/20260114/clip_000188_564000.mp3,6.76,19.544,noon/20260113/mp3/20260113.mp3,20260113,623.856,636.64,382,1.001,1.0,1.0
panako/noon/clips/20260114/clip_000194_582000.mp3,0.216,19.56,noon/20260113/mp3/20260113.mp3,20260113,635.304,654.656,686,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000191_573000.mp3,0.112,19.744,noon/20260113/mp3/20260113.mp3,20260113,626.208,645.832,665,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000193_579000.mp3,0.096,19.336,noon/20260113/mp3/20260113.mp3,20260113,632.184,651.432,657,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000201_603000.mp3,0.136,19.696,noon/20260113/mp3/20260113.mp3,20260113,656.24,675.728,418,1.003,1.0,0.65
panako/noon/clips/20260114/clip_000198_594000.mp3,0.312,19.56,noon/20260113/mp3/20260113.mp3,20260113,647.408,666.592,218,1.003,1.0,0.5
panako/noon/clips/20260114/clip_000204_612000.mp3,0.144,15.352,noon/20260113/mp3/20260113.mp3,20260113,665.176,680.384,863,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000203_609000.mp3,2.44,18.352,noon/20260113/mp3/20260113.mp3,20260113,664.464,680.384,899,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000206_618000.mp3,0.192,9.352,noon/20260113/mp3/20260113.mp3,20260113,671.224,680.384,515,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000306_918000.mp3,2.352,13.616,noon/20260113/mp3/20260113.mp3,20260113,1045.64,1056.904,553,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000307_921000.mp3,0.184,19.408,noon/20260113/mp3/20260113.mp3,20260113,1046.488,1065.696,731,1.0,1.0,0.75
panako/noon/clips/20260114/clip_000309_927000.mp3,0.176,18.48,noon/20260113/mp3/20260113.mp3,20260113,1052.464,1070.768,598,1.0,1.0,0.74
panako/noon/clips/20260114/clip_000311_933000.mp3,4.976,12.48,noon/20260113/mp3/20260113.mp3,20260113,1063.272,1070.768,445,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000574_1722000.mp3,0.24,19.312,noon/20260113/mp3/20260113.mp3,20260113,1722.744,1741.824,858,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000577_1731000.mp3,0.136,19.432,noon/20260113/mp3/20260113.mp3,20260113,5331.64,5350.936,967,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000582_1746000.mp3,0.104,19.408,noon/20260113/mp3/20260113.mp3,20260113,1746.608,1765.92,675,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000585_1755000.mp3,0.416,19.288,noon/20260113/mp3/20260113.mp3,20260113,1755.92,1774.8,439,1.0,1.0,0.89
panako/noon/clips/20260114/clip_000583_1749000.mp3,0.104,19.576,noon/20260113/mp3/20260113.mp3,20260113,1749.616,1769.08,520,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000590_1770000.mp3,0.32,19.56,noon/20260113/mp3/20260113.mp3,20260113,1770.832,1790.064,214,1.0,1.0,0.95
panako/noon/clips/20260114/clip_000601_1803000.mp3,0.256,19.592,noon/20260113/mp3/20260113.mp3,20260113,1803.76,1823.08,1124,1.001,1.0,1.0
panako/noon/clips/20260114/clip_000609_1827000.mp3,0.296,19.48,noon/20260113/mp3/20260113.mp3,20260113,1827.784,1846.968,669,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000610_1830000.mp3,0.112,18.272,noon/20260113/mp3/20260113.mp3,20260113,1830.608,1848.76,445,1.0,1.0,1.0
panako/noon/clips/20260114/clip_000612_1836000.mp3,0.128,19.472,noon/20260113/mp3/20260113.mp3,20260113,1836.608,1855.96,272,1.0,1.0,0.9
panako/noon/clips/20260114/clip_000616_1848000.mp3,0.272,18.84,noon/20260113/mp3/20260113.mp3,20260113,1848.76,1867.328,488,1.0,1.0,0.79
panako/noon/clips/20260114/clip_001023_3069000.mp3,7.056,19.544,noon/20260113/mp3/20260113.mp3,20260113,3065.52,3078.008,577,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001026_3078000.mp3,0.184,19.648,noon/20260113/mp3/20260113.mp3,20260113,3067.648,3087.112,952,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001027_3081000.mp3,0.104,19.44,noon/20260113/mp3/20260113.mp3,20260113,3070.568,3089.904,993,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001035_3105000.mp3,0.128,19.696,noon/20260113/mp3/20260113.mp3,20260113,3094.6,3114.16,710,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001037_3111000.mp3,0.28,19.464,noon/20260113/mp3/20260113.mp3,20260113,3100.744,3119.928,619,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001038_3114000.mp3,0.128,19.504,noon/20260113/mp3/20260113.mp3,20260113,3103.592,3122.968,601,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001039_3117000.mp3,0.2,19.68,noon/20260113/mp3/20260113.mp3,20260113,3106.664,3126.16,664,1.0,1.0,1.0
panako/noon/clips/20260114/clip_001042_3126000.mp3,0.528,18.592,noon/20260113/mp3/20260113.mp3,20260113,3115.992,3134.056,665,1.0,1.0,1.0
