Cluster ID,Cluster Start,Cluster Stop,Cluster Size,Duration
1,720.0,791.0,5,71.0
2,1710.0,1844.0,8,134.0
3,3015.0,3164.0,15,149.0
4,3498.0,3653.0,14,155.0
5,3801.0,3974.0,16,173.0
6,5289.0,5312.0,2,23.0
7,5370.0,5453.0,4,83.0
8,6867.0,7025.0,14,158.0
9,7116.0,7211.0,8,95.0
