Cluster ID,Match Start,Match Stop,Duration,Match Score,Query Path
1,384.552,401.048,16.5,581,panako/noon/clips/20260112/clip_000240_720000.mp3
1,393.568,412.944,19.38,679,panako/noon/clips/20260112/clip_000244_732000.mp3
1,396.968,415.92,18.95,714,panako/noon/clips/20260112/clip_000245_735000.mp3
1,399.56,418.528,18.97,643,panako/noon/clips/20260112/clip_000246_738000.mp3
1,431.944,440.56,8.62,513,panako/noon/clips/20260112/clip_000257_771000.mp3
2,1719.056,1728.28,9.22,378,panako/noon/clips/20260112/clip_000570_1710000.mp3
2,5333.352,5351.696,18.34,995,panako/noon/clips/20260112/clip_000579_1737000.mp3
2,1760.648,1778.392,17.74,354,panako/noon/clips/20260112/clip_000587_1761000.mp3
2,1766.072,1785.416,19.34,291,panako/noon/clips/20260112/clip_000589_1767000.mp3
2,1770.24,1788.24,18.0,146,panako/noon/clips/20260112/clip_000590_1770000.mp3
2,1790.52,1809.496,18.98,733,panako/noon/clips/20260112/clip_000597_1791000.mp3
2,5395.912,5412.56,16.65,1137,panako/noon/clips/20260112/clip_000599_1797000.mp3
2,1822.904,1840.6,17.7,810,panako/noon/clips/20260112/clip_000608_1824000.mp3
3,3211.2,3221.088,9.89,369,panako/noon/clips/20260112/clip_001005_3015000.mp3
3,3216.656,3236.072,19.42,766,panako/noon/clips/20260112/clip_001010_3030000.mp3
3,3219.688,3239.312,19.62,849,panako/noon/clips/20260112/clip_001011_3033000.mp3
3,3225.672,3245.216,19.54,888,panako/noon/clips/20260112/clip_001013_3039000.mp3
3,3234.664,3254.104,19.44,826,panako/noon/clips/20260112/clip_001016_3048000.mp3
3,3237.6,3257.088,19.49,759,panako/noon/clips/20260112/clip_001017_3051000.mp3
3,3240.68,3260.12,19.44,538,panako/noon/clips/20260112/clip_001018_3054000.mp3
3,3246.704,3265.872,19.17,457,panako/noon/clips/20260112/clip_001020_3060000.mp3
3,3274.32,3293.208,18.89,577,panako/noon/clips/20260112/clip_001029_3087000.mp3
3,3280.368,3299.064,18.7,756,panako/noon/clips/20260112/clip_001031_3093000.mp3
3,3282.856,3302.008,19.15,766,panako/noon/clips/20260112/clip_001032_3096000.mp3
3,3286.032,3304.8,18.77,827,panako/noon/clips/20260112/clip_001033_3099000.mp3
3,3294.592,3313.96,19.37,555,panako/noon/clips/20260112/clip_001036_3108000.mp3
3,3303.76,3323.024,19.26,489,panako/noon/clips/20260112/clip_001039_3117000.mp3
3,3331.168,3346.512,15.34,817,panako/noon/clips/20260112/clip_001048_3144000.mp3
4,3498.808,3512.76,13.95,290,panako/noon/clips/20260112/clip_001166_3498000.mp3
4,3511.816,3531.128,19.31,1265,panako/noon/clips/20260112/clip_001172_3516000.mp3
4,3514.632,3534.128,19.5,1348,panako/noon/clips/20260112/clip_001173_3519000.mp3
4,3523.696,3543.176,19.48,1090,panako/noon/clips/20260112/clip_001176_3528000.mp3
