ad_idx,ad_start,ad_end,company,overlap_ratio,detected,date
9,1797.37,1817.34,기프트인포,1.0,True,20260114
10,1817.34,1839.87,이은지의가요광장,1.0,True,20260114
11,3076.04,3096.05,미래에셋증권,1.0,True,20260114
12,3096.05,3116.07,고려기프트,1.0,True,20260114
13,3116.07,3136.09,금비,1.0,True,20260114
14,3136.09,3156.06,베스트슬립,1.0,True,20260114
15,3156.06,3176.08,넥시안,1.0,True,20260114
16,3176.08,3195.98,경기주택도시공사,1.0,True,20260114
17,3195.98,3213.86,이은지의가요광장,1.0,True,20260114
18,3512.45,3532.43,마리오아울렛,1.0,True,20260114
19,3532.43,3552.42,수원여자대학교,1.0,True,20260114
20,3552.42,3592.92,KBS쿨FM,1.0,True,20260114
21,3592.92,3619.32,KBS플러스,1.0,True,20260114
22,3619.32,3650.4,이은지의가요광장,1.0,True,20260114
23,3816.4,3836.08,메디힐,0.715,True,20260114
24,3836.08,3876.02,한국수자원공사,1.0,True,20260114
25,3876.02,3896.38,신한,1.0,True,20260114
26,3896.38,3916.42,일양약품,1.0,True,20260114
27,3916.42,3936.4,현대자동차,1.0,True,20260114
28,3936.4,3956.43,땅스부대찌개,1.0,True,20260114
29,3956.43,3976.34,보배반점,1.0,True,20260114
30,5317.29,5337.32,경리나라,1.0,True,20260114
31,5337.32,5357.24,노원아트뮤지엄,1.0,True,20260114
32,5357.24,5397.66,KBS쿨FM,1.0,True,20260114
33,5397.66,5417.67,기프트인포,1.0,True,20260114
34,6802.26,6927.75,가요광장,0.867,True,20260114
35,7109.17,7129.68,성원애드피아,1.0,True,20260114
36,7129.68,7147.89,올리디아,1.0,True,20260114
37,7147.89,7192.54,박명수의라디오쇼,1.0,True,20260114
38,7192.54,7210.0,KBS플러스,0.714,True,20260114
1,0.0,18.9,KBS플러스,0.683,True,20260115
2,18.9,36.6,이은지의가요광장,1.0,True,20260115
3,663.74,683.64,경기주택도시공사,1.0,True,20260115
4,683.64,703.58,리퍼브,1.0,True,20260115
5,703.58,721.09,이은지의가요광장,1.0,True,20260115
6,1716.78,1736.86,경리나라,0.0,False,20260115
7,1736.86,1756.71,노원아트뮤지엄,0.691,True,20260115
8,1756.71,1796.8,오마이걸효정의볼륨을높여요,1.0,True,20260115
9,1796.8,1816.8,기프트인포,1.0,True,20260115
10,1816.8,1841.05,이은지의가요광장,1.0,True,20260115
11,3181.88,3201.91,미래에셋증권,1.0,True,20260115
12,3201.91,3221.89,고려기프트,1.0,True,20260115
13,3221.89,3241.91,금비,1.0,True,20260115
14,3241.91,3261.87,베스트슬립,1.0,True,20260115
15,3261.87,3281.94,넥시안,1.0,True,20260115
16,3281.94,3301.69,경기주택도시공사,1.0,True,20260115
17,3301.69,3319.8,이은지의가요광장,1.0,True,20260115
18,3511.85,3531.82,마리오아울렛,1.0,True,20260115
19,3531.82,3551.85,수원여자대학교,1.0,True,20260115
20,3551.85,3592.27,KBS쿨FM,1.0,True,20260115
21,3592.27,3618.77,KBS플러스,1.0,True,20260115
22,3618.77,3650.17,이은지의가요광장,0.995,True,20260115
23,3836.1,3855.72,메디힐,0.801,True,20260115
24,3855.72,3875.72,한국수자원공사,1.0,True,20260115
25,3875.72,3896.38,신한,1.0,True,20260115
26,3896.38,3936.08,일양약품,1.0,True,20260115
27,3936.08,3956.04,현대자동차,1.0,True,20260115
28,3956.04,3976.13,땅스부대찌개,1.0,True,20260115
29,3976.13,3996.0,보배반점,1.0,True,20260115
30,5316.82,5336.8,경리나라,0.591,True,20260115
31,5336.8,5356.69,노원아트뮤지엄,1.0,True,20260115
32,5356.69,5397.18,KBS쿨FM,1.0,True,20260115
33,5397.18,5417.15,기프트인포,1.0,True,20260115
34,6843.53,6984.14,가요광장,0.961,True,20260115
35,7111.75,7132.18,성원애드피아,1.0,True,20260115
36,7132.18,7151.27,올리디아,0.672,True,20260115
37,7151.27,7171.18,바이탈플랜트,0.0,False,20260115
38,7171.18,7191.65,한해의 키스더라디오,0.325,False,20260115
39,7191.65,7210.0,KBS플러스,0.728,True,20260115
