date,tp,fp,fn,precision,recall,f1,ad_total,ad_tp,ad_fn,ad_fp_blocks,ad_precision,ad_recall,ad_f1
20260102,869,156,111,0.8478,0.8867,0.8668,38,33,5,1,0.9706,0.8684,0.9167
20260108,782,160,198,0.8301,0.798,0.8137,38,30,8,2,0.9375,0.7895,0.8571
20260109,911,158,51,0.8522,0.947,0.8971,38,35,3,2,0.9459,0.9211,0.9333
20260110,819,114,141,0.8778,0.8531,0.8653,38,32,6,0,1.0,0.8421,0.9143
20260111,909,135,51,0.8707,0.9469,0.9072,38,37,1,0,1.0,0.9737,0.9867
20260112,872,166,90,0.8401,0.9064,0.872,38,34,4,1,0.9714,0.8947,0.9315
20260113,856,127,102,0.8708,0.8935,0.882,38,34,4,1,0.9714,0.8947,0.9315
20260114,909,215,68,0.8087,0.9304,0.8653,38,36,2,2,0.9474,0.9474,0.9474
20260115,900,255,97,0.7792,0.9027,0.8364,39,36,3,2,0.9474,0.9231,0.9351
