block_type,start,end,duration
AD,0.0,28.0,28.0
DJ,28.0,117.0,89.0
MUSIC,117.0,348.0,231.0
DJ,348.0,429.0,81.0
AD,429.0,596.0,167.0
DJ,596.0,666.0,70.0
AD,666.0,668.0,2.0
DJ,668.0,713.0,45.0
MUSIC,713.0,919.0,206.0
DJ,919.0,1046.0,127.0
MUSIC,1046.0,1261.0,215.0
DJ,1261.0,1444.0,183.0
MUSIC,1444.0,1659.0,215.0
AD,1659.0,1928.0,269.0
DJ,1928.0,1948.0,20.0
AD,1948.0,1949.0,1.0
DJ,1949.0,2431.0,482.0
MUSIC,2431.0,2610.0,179.0
DJ,2610.0,2922.0,312.0
MUSIC,2922.0,3078.0,156.0
AD,3078.0,3278.0,200.0
DJ,3278.0,3282.0,4.0
AD,3282.0,3296.0,14.0
DJ,3296.0,3298.0,2.0
MUSIC,3298.0,3343.0,45.0
DJ,3343.0,3348.0,5.0
AD,3348.0,3375.0,27.0
DJ,3375.0,3379.0,4.0
MUSIC,3379.0,3447.0,68.0
AD,3447.0,3629.0,182.0
DJ,3629.0,3630.0,1.0
