block_type,start,end,duration
AD,0.0,20.0,20.0
DJ,20.0,24.0,4.0
AD,24.0,44.0,20.0
DJ,44.0,79.0,35.0
MUSIC,79.0,271.0,192.0
DJ,271.0,618.0,347.0
AD,618.0,668.0,50.0
DJ,668.0,1020.0,352.0
AD,1020.0,1058.0,38.0
DJ,1058.0,1153.0,95.0
MUSIC,1153.0,1355.0,202.0
DJ,1355.0,1576.0,221.0
MUSIC,1576.0,1717.0,141.0
DJ,1717.0,1719.0,2.0
AD,1719.0,1865.0,146.0
DJ,1865.0,1941.0,76.0
MUSIC,1941.0,2128.0,187.0
DJ,2128.0,2734.0,606.0
MUSIC,2734.0,2934.0,200.0
DJ,2934.0,3096.0,162.0
AD,3096.0,3245.0,149.0
DJ,3245.0,3297.0,52.0
MUSIC,3297.0,3435.0,138.0
DJ,3435.0,3440.0,5.0
AD,3440.0,3659.0,219.0
DJ,3659.0,3795.0,136.0
AD,3795.0,3989.0,194.0
MUSIC,3989.0,4017.0,28.0
DJ,4017.0,4384.0,367.0
AD,4384.0,4385.0,1.0
DJ,4385.0,4526.0,141.0
MUSIC,4526.0,4713.0,187.0
DJ,4713.0,5157.0,444.0
MUSIC,5157.0,5316.0,159.0
AD,5316.0,5450.0,134.0
DJ,5450.0,6552.0,1102.0
MUSIC,6552.0,6746.0,194.0
DJ,6746.0,6753.0,7.0
AD,6753.0,6866.0,113.0
DJ,6866.0,6904.0,38.0
MUSIC,6904.0,7037.0,133.0
DJ,7037.0,7041.0,4.0
AD,7041.0,7214.0,173.0
DJ,7214.0,7216.0,2.0
